Accession,Species,Genus
DQ448193.1,Alphapapillomavirus 9,Alphapapillomavirus
DQ448194.1,Alphapapillomavirus 9,Alphapapillomavirus
DQ448195.1,Alphapapillomavirus 9,Alphapapillomavirus
DQ448196.1,Alphapapillomavirus 9,Alphapapillomavirus
DQ448197.1,Alphapapillomavirus 9,Alphapapillomavirus
DQ448198.1,Alphapapillomavirus 9,Alphapapillomavirus
DQ448199.1,Alphapapillomavirus 9,Alphapapillomavirus
DQ448200.1,Alphapapillomavirus 9,Alphapapillomavirus
DQ448201.1,Alphapapillomavirus 9,Alphapapillomavirus
DQ448202.1,Alphapapillomavirus 7,Alphapapillomavirus
DQ448203.1,Alphapapillomavirus 7,Alphapapillomavirus
DQ448204.1,Alphapapillomavirus 7,Alphapapillomavirus
DQ448205.1,Alphapapillomavirus 7,Alphapapillomavirus
DQ448206.1,Alphapapillomavirus 7,Alphapapillomavirus
DQ448207.1,Alphapapillomavirus 7,Alphapapillomavirus
DQ448208.1,Alphapapillomavirus 7,Alphapapillomavirus
DQ448209.1,Alphapapillomavirus 7,Alphapapillomavirus
DQ448210.1,Alphapapillomavirus 7,Alphapapillomavirus
DQ448211.1,Alphapapillomavirus 7,Alphapapillomavirus
DQ448212.1,Alphapapillomavirus 9,Alphapapillomavirus
DQ448213.1,Alphapapillomavirus 9,Alphapapillomavirus
DQ448214.1,Alphapapillomavirus 9,Alphapapillomavirus
DQ435769.1,Alphapapillomavirus 9,Alphapapillomavirus
DQ435770.1,Alphapapillomavirus 9,Alphapapillomavirus
DQ435771.1,Alphapapillomavirus 9,Alphapapillomavirus
AY956402.1,Upsilonpapillomavirus 2,Upsilonpapillomavirus
DQ422743.1,Alphapapillomavirus 9,Alphapapillomavirus
DQ422744.1,Alphapapillomavirus 9,Alphapapillomavirus
DQ422745.1,Alphapapillomavirus 9,Alphapapillomavirus
DQ422746.1,Alphapapillomavirus 9,Alphapapillomavirus
DQ422747.1,Alphapapillomavirus 9,Alphapapillomavirus
DQ422748.1,Alphapapillomavirus 9,Alphapapillomavirus
DQ422749.1,Alphapapillomavirus 9,Alphapapillomavirus
DQ422750.1,Alphapapillomavirus 9,Alphapapillomavirus
DQ422751.1,Alphapapillomavirus 9,Alphapapillomavirus
DQ422752.1,Alphapapillomavirus 9,Alphapapillomavirus
DQ422753.1,Alphapapillomavirus 9,Alphapapillomavirus
DQ422754.1,Alphapapillomavirus 9,Alphapapillomavirus
DQ422755.1,Alphapapillomavirus 9,Alphapapillomavirus
DQ422756.1,Alphapapillomavirus 9,Alphapapillomavirus
DQ422757.1,Alphapapillomavirus 9,Alphapapillomavirus
